Title,Author,Barcode,"Item number (internal)","Permanent library","Shelving location","Call number","Not for loan","Lost status","Damaged status","Withdrawn status","Inventory number"
"Aguafuertes Patagónicas","Arlt, Roberto",10707,4169,3326,Novelas,,,,0,0,
"Alférez de Fragata Don José María Sobral","Instituto Nacional Browniano",11633,5109,3326,Biografías,,,,0,0,
"Alférez de Fragata Don José María Sobral","Instituto Nacional Browniano",11634,5110,3326,Biografías,,,,0,0,
Amapola,,9876,4572,3326,,,,,0,0,
"Aprendo las letras","Doglioli, Agustín",9760,4636,3326,,,,,0,0,
"Arte desde la cuna: educación","Origlio, Fabrizio y otros",9170,4614,3326,,,,,0,0,
"Artículos periodísticos, reportajes, cartas y documentos(1959-1968)","Cooke, John William",11527,4406,3326,,,,,0,0,
"Aventuras y desventuras de un biólogo latinoamericano","Rapoport, Eduardo",88883,6092,3326,"Autores locales",,,,0,0,
"Blancanieves c/rompecabezas",Blancanieves,8630,4673,3326,,,,,0,0,
"Cachorro guau guau","García, María Luisa",10616,4678,3326,"Sector infantil",,,,0,0,
"Caídos del mapa","Falconi, María Inés",8996,4591,3326,"Sector infantil",,,,0,0,
"Caídos del mapa V","Falconi, María",9946,4671,3326,,,,,0,0,
"Caídos del mapa VI","Falconi, María",9947,4670,3326,,,,,0,0,
"Caídos del mapa VII","Falconi, María",9948,4669,3326,,,,,0,0,
"Caídos del mapa X","Falconi, María Inés",11384,4600,3326,,,,,0,0,
"Casas y cosas","Briones, Diana",10623,4579,3326,,,,,0,0,
"Chancho Pancho",,11388,4570,3326,,,,,0,0,
"Clientelismo Político","Auyero, Javier",12290,6086,3326,,,,,0,0,
Colectivos,"López, Mónica",10580,4608,3326,,,,,0,0,
"Con todo el amor",,10691,4573,3326,,,,,0,0,
"Confines de Occidente","Canal Feijóo, Bernardo",12252,6054,3326,Filosofía,,,,0,0,
"Coni la cerdita","Feoli, Daniela",10586,4638,3326,"Sector infantil",,,,0,0,
"Coronel de Marina Don Leonardo Rosales","Instituto Nacional Browniano",11636,5112,3326,Biografías,,,,0,0,
"Crítica de la constitución","Gargarella, Roberto",12289,6087,3326,,,,,0,0,
"Crónicas del aguante","Alabarces, Pablo",12295,6081,3326,,,,,0,0,
"Cuatro historias de las Mil y una noches","Mil y una noches",9750,4603,3326,,,,,0,0,
"Cuentos con historia","Caride, Agustina",11394,4665,3326,,,,,0,0,
"Dársela en la pera","Navarro, Luis Fernando",11407,4664,3326,,,,,0,0,
"Dimitri en la tormenta","Suez, Perla",10798,4598,3326,,,,,0,0,
"Doodles, energía y calor","Rolf, Taína",11005,4582,3326,,,,,0,0,
"El africano",,8381,4679,3326,,,,,0,0,
"El bosque encantado","Califa, Oche",10374,4675,3326,,,,,0,0,
"El botín","Escudero, Laura",8040,4639,3326,,,,,0,0,
"El camino del bordado","Diaz, Clara",11685,5250,3326,"Arte, música, fotografía, jardinería",,,,0,0,
"El caracol Sami",,10537,5542,3326,,,,,0,0,
"El fútbol a sol y sombra",,11529,4442,3326,,,,,0,0,
"El gato",,9885,5546,3326,,,,,0,0,
"El jinete insomne","Scorza, MAnuel",8947,4994,3326,Novelas,,,,0,0,
"El Líbano. 8 días para morir","Larteguy, Jean",4972,4413,3326,,,,,0,0,
"El libro de Gaturrín",Nik,11304,4607,3326,"Sector infantil",,,,0,0,
"El muchacho de los senos de goma","Iparraguirre, Sylvia",11423,4631,3326,,,,,0,0,
"El mundo ha vivido equivocado","Fontanarrosa, Roberto",10394,6033,3326,,,,,0,0,
"El poder del centro","Arnheim, Rudolf",1252,4681,3326,,,,,0,0,
"El poder del propio pensar","Rao, Osvaldo",8375,4649,3326,Autoayuda,,,,0,0,
"El sistema solar del 1 al 10","Baredes, Carla",8376,4672,3326,,,,,0,0,
"El sueño de Nicolas mas","González Carey, Fernando",10275,4680,3326,,,,,0,0,
"El teatro de Bertolt Brecht","Willett, Jhon",3055,4687,3326,,,,,0,0,
"El tordo músico y otros","Narosky, Tito",8228,4589,3326,,,,,0,0,
"En la selva","Vera, Paula",8251,4666,3326,,,,,0,0,
"Escrito y dibujado por",Liniers,11069,4612,3326,"Arte, música, fotografía, jardinería",,,,0,0,
"Esto no es un dibujo","Martin, María",11369,4605,3326,,,,,0,0,
Ezeiza,"Verbitsky, Horacio",11163,4618,3326,,,,,0,0,
"Figura humana",,2549,4574,3326,,,,,0,0,
"Fuera de aquí horrible","Emberley, Ed",11344,4624,3326,,,,,0,0,
"Gaturro y la noche",,9764,4565,3326,"Sector infantil",,,,0,0,
"Hagamos nuestras plantas","Rocha, Elena de",5044,4637,3326,"Arte, música, fotografía, jardinería",,,,0,0,
"Historia 3","Luchilo, Lucas J.",,5059,3326,,,,,0,0,
"Hitorias de piratas","Historias de piratas",10725,4586,3326,"Sector infantil",,,,0,0,
"Inteligencias múltiples",a,10004,5115,3326,,,,,0,0,
"La abeja Taty","La abeja Taty",10536,4655,3326,"Sector infantil",,,,0,0,
"La abeja y los opuestos",,11825,5545,3326,,,,,0,0,
"La bastarda","Leduc, Violette",,5009,3326,,,"No esta disponible",,0,0,
"La bruja de Portobello","Coehlo, Paulo",8892,4677,3326,,,,,0,0,
"La carta y otros","López, Horacio",10676,4659,3326,,,,,0,0,
"La casa de Bernarda",,10492,4566,3326,,,,,0,0,
"La casita azul","Comino, Sandra",10743,4646,3326,,,,,0,0,
"La educación sexual integral","Travaini, Andrea",11053,4660,3326,,,,,0,0,
"La escuela de detectives","Pittaluga, Iván",10595,4601,3326,,,,,0,0,
"La hija del sepulturero","Oates, Joyce Carol",9098,4633,3326,,,,,0,0,
"La historia desbocada I","Feinmann, José Pablo",12291,6085,3326,,,,,0,0,
"La italiana","Plaidy, Jean",8583,4667,3326,,,,,0,0,
"La silla de imaginar",,11071,5547,3326,,,,,0,0,
"La vaquita Lily",,10534,5536,3326,,,,,0,0,
"La verdadera explicación","Bernasconi, Pablo",11311,4849,3326,"Sector infantil",,,,0,0,
"Las hierbas curativas",,11982,5589,3326,,,,,0,0,
"Las maldiciones","Piñeiro, Claudia",11336,4634,3326,,,,,0,0,
"Lo que dicen tus ojos","Florencia Bonelli",10029,3866,3326,,,,,0,0,
"Los anteojos negros","Doumerc, Beatriz",10488,4686,3326,,,,,0,0,
"Los astronautas de la cosmopista","Cortázar, Julio",11381,4604,3326,,,,,0,0,
"Los cuervos de Pearblossom","Huxley, Aldous",9113,4635,3326,,,,,0,0,
"Los dueños del mundo","Sacheri, Eduardo",11027,4663,3326,,,,,0,0,
"Los paseos de CocoDrilo","Binder, Walter",8390,4676,3326,,,,,0,0,
"Los perros del paraíso","Posse, Abel",11440,4627,3326,,,,,0,0,
"Los sábados son como",Liniers,10364,4684,3326,,,,,0,0,
Lunática,"Palacio, Martha",11348,4682,3326,,,,,0,0,
"Macanudo 3",Liniers,11307,4661,3326,,,,,0,0,
"Manual Esencial 5",,,5061,3326,,,,,0,0,
"Manual Esencial 6",,,5060,3326,,,,,0,0,
"Mara la rana",,11826,5543,3326,,,,,0,0,
"Matematica 4",Tapia,2882,4979,3326,Matemática,,,,0,0,
"Megafón, o la guerra","Marechal, Leopoldo",8720,4438,3326,Novelas,,,,0,0,
Monstruario,"Cinetto, Liliana",10686,4647,3326,,,,,0,0,
"Ni una menos","Ni una menos",11332,4662,3326,,,,,0,0,
"Olivia y las princesas","Falconer, Ian",11390,4613,3326,,,,,0,0,
"Origami creativo y fácil","Avonder, Alberto",11063,4597,3326,,,,,0,0,
"Origami flores","Avondet, Alberto",10039,4611,3326,"Arte, música, fotografía, jardinería",,,,0,0,
"Origami mandalas arte","Minuet, Cristina",11356,4610,3326,,,,,0,0,
"Origami, papiroflexia para","Gari, Leonora",8284,4596,3326,,,,,0,0,
"Pájaro negro",,8369,4568,3326,,,,,0,0,
"Patagonia tiempo de leyenda","Roldán, Gustavo",8880,4643,3326,,,,,0,0,
"Piedras de agua","Varley, Julia",8479,4688,3326,,,,,0,0,
"Pregúntame (4-5 años)","Gogni, Luciana",11295,4625,3326,"Sector infantil",,,,0,0,
"Puro pelo, pintora de sueños","Sevilla, Fabián",11363,4606,3326,,,,,0,0,
"Qué nos pasó cuando fuimos niños",,11810,5588,3326,,,,,0,0,
"Quelonios 2","Antología de cuentos infantiles",10068,4656,3326,"Sector infantil",,,,0,0,
"Ratones y colores","Torres, Elena",10581,4609,3326,,,,,0,0,
"Rita, el hada desordenada","Antón, Rocío y Núñez, Lola",8770,4657,3326,"Sector infantil",,,,0,0,
